id,percent_change_24h,percent_change_7d
bitcoin-cash,-5.51,-4.75
binance-coin,-5.51,25.37
zrcoin,-5.51,-5.17
basic-attention-token,-5.5,0.59
xios,-5.48,25.2
primalbase,-5.47,9.47
crevacoin,-5.46,-8.59
upfiring,-5.45,-32.44
cryptonite,-5.38,15.22
bnrtxcoin,-5.31,5.97
verge,-5.26,19.36
putincoin,-5.12,-55.35
platinumbar,-5.11,-19.05
pillar,-5.08,2.42
triggers,-5.06,-6.28
blackcoin,-5.0,16.37
publica,-4.99,-46.22
master-swiscoin,-4.96,-18.98
kucoin-shares,-4.96,13.97
digibyte,-4.95,13.21
ethos,-4.9,-3.88
mobilego,-4.89,11.08
lunyr,-4.85,4.77
iconomi,-4.75,3.25
asiadigicoin,-4.73,-5.96
digitalnote,-4.65,12.15
ubiq,-4.61,17.7
zozocoin,-4.6,32.47
sterlingcoin,-4.59,3.02
accelerator-network,-4.57,4.39
bitcoin-plus,-4.53,1.14
first-bitcoin,-4.52,-1.55
status,-4.51,23.69
avatarcoin,-4.5,23.17
abncoin,-4.4,-11.69
domraider,-4.37,-1.6
waves,-4.33,22.21
gold-reward-token,-4.31,63.86
credo,-4.28,-18.92
minereum,-4.22,4.7
pinkcoin,-4.2,15.32
flik,-4.19,49.72
wagerr,-4.15,59.74
mywish,-4.13,-60.0
bitstar,-4.12,6.04
siacoin,-4.11,37.69
growers-international,-4.1,13.33
ox-fina,-4.05,0.15
incent,-4.01,-9.42
apx,-3.95,10.31
fincoin,-3.94,-13.64
ethereum,-3.93,-7.33
win-coin,-3.9,-14.71
paccoin,-3.88,1.0
hive,-3.87,32.87
bitdeal,-3.85,-30.43
primas,-3.83,23.39
litecoin-ultra,-3.82,109.58
netko,-3.79,-18.52
asch,-3.79,-8.84
ellaism,-3.77,171.9
farad,-3.76,11.68
tattoocoin,-3.72,18.36
ripple,-3.7,-14.79
elysium,-3.68,9.87
foldingcoin,-3.64,21.98
mothership,-3.61,-22.6
ug-token,-3.58,-4.41
primecoin,-3.58,5.82
databits,-3.54,5.63
quantum,-3.54,-12.74
ethereum-classic,-3.47,-7.7
faircoin,-3.45,12.47
everex,-3.43,-12.54
alpacoin,-3.42,-11.15
adzcoin,-3.42,-5.49
kilocoin,-3.37,-47.03
stronghands,-3.37,-11.54
virtacoinplus,-3.36,36.69
infinity-pay,-3.33,-36.77
egold,-3.33,-57.35
cash-poker-pro,-3.33,-44.7
iocoin,-3.33,-13.95
facecoin,-3.33,-15.15
aseancoin,-3.33,200.75
dimoncoin,-3.33,-10.31
exrnchain,-3.33,127.94
smart-investment-fund-token,-3.31,10.26
dash,-3.31,10.64
nyancoin,-3.28,58.91
grid,-3.27,-14.2
mazacoin,-3.21,-3.01
korecoin,-3.16,1.46
smileycoin,-3.11,-15.27
nuls,-3.07,41.46
unicoin,-3.07,9.09
ether-for-the-rest-of-the-world,-3.05,-75.03
breakout,-2.98,5.03
bitcoinz,-2.97,-9.1
gold-pressed-latinum,-2.96,2.07
piggycoin,-2.96,-62.11
kurrent,-2.94,63.42
pascal-coin,-2.91,0.15
sharkcoin,-2.86,-6.13
bitserial,-2.81,138.21
byteball,-2.78,0.04
eboostcoin,-2.76,4.74
factom,-2.74,0.83
lottocoin,-2.72,18.52
dovu,-2.68,-4.41
rivetz,-2.66,26.34
dcorp,-2.62,-17.08
blockchain-index,-2.58,7.53
quantum-resistant-ledger,-2.55,12.59
arcticcoin,-2.55,-10.51
zoin,-2.53,12.22
lisk,-2.52,15.79
litecoin-plus,-2.51,26.9
sprouts,-2.5,-42.66
akuya-coin,-2.49,-13.3
coimatic-3,-2.41,7.29
swarm-city,-2.39,19.93
qwark,-2.35,3.27
hempcoin,-2.3,165.03
vcash,-2.3,17.67
ark,-2.28,26.98
lomocoin,-2.26,32.74
terranova,-2.22,-12.83
airswap,-2.2,11.43
exclusivecoin,-2.15,20.92
startcoin,-2.14,13.35
breakout-stake,-2.04,11.95
modum,-2.01,-13.65
blitzcash,-1.98,3.38
rublebit,-1.89,14.1
vtorrent,-1.88,16.25
life,-1.86,12.9
adtoken,-1.86,4.21
evergreencoin,-1.81,7.52
confido,-1.8,25.88
nubits,-1.77,-2.2
decent-bet,-1.75,-1.81
monetaryunit,-1.72,30.82
delphy,-1.68,16.69
machinecoin,-1.65,33.27
allsafe,-1.56,-54.99
chips,-1.54,-31.8
huntercoin,-1.54,-0.23
bridgecoin,-1.44,100.89
mergecoin,-1.43,7.41
audiocoin,-1.42,1.73
interstellar-holdings,-1.36,1.95
myriad,-1.34,7.29
droxne,-1.32,0.76
miners-reward-token,-1.25,9.39
enjin-coin,-1.23,8.63
xplay,-1.2,-19.92
