,id,market_cap_usd
337,memetic,7339652.0
338,synergy,7102452.0
339,latoken,7081083.0
340,bitswift,7026242.0
341,circuits-of-value,7006860.0
342,dynamic,6969497.0
343,sexcoin,6966249.0
344,exclusivecoin,6912357.0
345,trezarcoin,6808527.0
346,astro,6724265.0
347,syndicate,6692926.0
348,chaincoin,6662865.0
349,supercoin,6608184.0
350,dcorp,6531625.0
351,newyorkcoin,6502594.0
352,zrcoin,6384584.0
353,xcurrency,6319679.0
354,eccoin,6256125.0
355,lampix,6183722.0
356,goldcoin,6160195.0
357,project-decorum,6131000.0
358,europecoin,6123613.0
359,thegcccoin,6067361.0
360,creditbit,6050024.0
361,bitmark,5867921.0
362,putincoin,5724803.0
363,clearpoll,5664365.0
364,bismuth,5646062.0
365,trustplus,5620673.0
366,primecoin,5619588.0
367,belacoin,5558759.0
368,sharechain,5506850.0
369,parkbyte,5349906.0
370,dopecoin,5296619.0
371,breakout-stake,5270248.0
372,karbowanec,5262211.0
373,flixxo,5237866.0
374,gobyte,5232102.0
375,rupee,5195796.0
376,2give,5189514.0
377,elixir,5152542.0
378,htmlcoin,5087379.0
379,centurion,5039896.0
380,goldblocks,5036006.0
381,vslice,4981762.0
382,indorse-token,4942426.0
383,terracoin,4883169.0
384,pirl,4855535.0
385,aeron,4850289.0
386,neutron,4830047.0
387,propy,4803546.0
388,blitzcash,4659575.0
389,breakout,4620135.0
390,bluecoin,4602170.0
391,bitcoin-red,4569085.0
392,mybit-token,4568171.0
393,phore,4492263.0
394,zclassic,4482531.0
395,encrypgen,4470414.0
396,evergreencoin,4335164.0
397,dovu,4322939.0
398,universal-currency,4304951.0
399,darcrus,4167594.0
400,cannabiscoin,4070647.0
401,zephyr,4068171.0
402,geocoin,4061563.0
403,creativecoin,4043472.0
404,luxcoin,4014040.0
405,hush,3995754.0
406,ixcoin,3966770.0
407,veriumreserve,3843055.0
408,shield-xsh,3840258.0
409,atmos,3828222.0
410,primalbase,3826890.0
411,oceanlab,3807267.0
412,internxt,3766217.0
413,rustbits,3759260.0
414,real,3707188.0
415,autonio,3654054.0
416,e-gulden,3653844.0
417,hellogold,3627616.0
418,ebtcnew,3592022.0
419,hedge,3497303.0
420,quark,3481616.0
421,procurrency,3461779.0
422,innova,3424219.0
423,huntercoin,3410848.0
424,martexcoin,3376377.0
425,tokes,3359830.0
426,hubii-network,3355304.0
427,cryptoping,3348470.0
428,mintcoin,3341212.0
429,mercury-protocol,3242360.0
430,dotcoin,3199967.0
431,cryptcoin,3187694.0
432,startcoin,3171016.0
433,trueflip,3123065.0
434,vtorrent,3115344.0
435,social,3051629.0
436,paccoin,3035193.0
437,magi,2967758.0
438,kolion,2958156.0
439,vivo,2921925.0
440,spreadcoin,2879255.0
441,draftcoin,2707295.0
442,yocoin,2698284.0
443,buzzcoin,2681720.0
444,xgox,2668361.0
445,cryptonite,2653320.0
446,hyperstake,2639060.0
447,flik,2625613.0
448,publica,2611385.0
449,bowhead,2565056.0
450,audiocoin,2558851.0
451,altcoin-alt,2556298.0
452,crave,2514059.0
453,woodcoin,2513457.0
454,smartbillions,2506920.0
455,bitland,2505210.0
456,starta,2478968.0
457,atlant,2477246.0
458,ico-openledger,2426448.0
459,opus,2420872.0
460,ellaism,2399387.0
461,equitrader,2393413.0
462,worldcoin,2362214.0
463,luckchain,2349465.0
464,piplcoin,2293165.0
465,zoin,2209938.0
466,fantomcoin,2168686.0
467,zennies,2143971.0
468,chips,2128362.0
469,anoncoin,2112385.0
470,dnotes,2104025.0
471,cartaxi-token,2047753.0
472,legends-room,2011620.0
473,megacoin,1968429.0
474,xp,1966358.0
475,visio,1911587.0
476,bytecent,1878253.0
477,sumokoin,1875331.0
478,tracto,1852564.0
479,interstellar-holdings,1842215.0
480,life,1775657.0
481,janus,1757027.0
482,bitcoinz,1722332.0
483,fastcoin,1714562.0
484,privatix,1703621.0
485,eboostcoin,1668132.0
486,unity-ingot,1584003.0
487,espers,1567418.0
488,wavesgo,1563634.0
489,flypme,1558963.0
490,linx,1552786.0
491,hicoin,1543036.0
492,mutual-coin,1523642.0
493,signatum,1518637.0
494,condensate,1515592.0
495,linda,1501020.0
496,monacocoin,1488564.0
497,fundyourselfnow,1476714.0
498,denarius-dnr,1457701.0
499,petrodollar,1445051.0
500,influxcoin,1439461.0
501,monster-byte,1435775.0
502,bitcurrency,1421737.0
503,royal-kingdom-coin,1421650.0
504,zetacoin,1383338.0
505,link-platform,1378829.0
506,1337coin,1369097.0
507,giga-watt-token,1356516.0
508,skincoin,1344542.0
509,kekcoin,1339535.0
510,magnet,1330120.0
511,ufo-coin,1312906.0
512,canada-ecoin,1302105.0
513,adzcoin,1296941.0
514,arcticcoin,1275358.0
515,roulettetoken,1269032.0
516,miners-reward-token,1268930.0
517,dinastycoin,1252233.0
518,zeitcoin,1247862.0
519,remicoin,1233492.0
520,intensecoin,1223643.0
521,neverdie,1217612.0
522,insanecoin-insn,1199053.0
523,growers-international,1198174.0
524,bata,1193333.0
525,pure,1182949.0
526,unbreakablecoin,1160430.0
527,digitalprice,1142639.0
528,unitus,1142310.0
529,solaris,1139737.0
530,alqo,1132857.0
531,elementrem,1129090.0
532,britcoin,1125812.0
533,greencoin,1120534.0
534,mao-zedong,1119620.0
535,bitradio,1118977.0
