id,percent_change_24h,percent_change_7d
harmonycoin-hmc,7.84,-5.5
grimcoin,9.57,-5.5
adzcoin,-3.42,-5.49
footy-cash,35.87,-5.48
toacoin,7.74,-5.48
condensate,40.6,-5.24
zrcoin,-5.51,-5.17
doubloon,-7.94,-5.14
energo,-0.32,-5.01
goldcoin,-0.47,-4.99
digixdao,-11.71,-4.99
wearesatoshi,6.27,-4.9
smartbillions,0.05,-4.89
renos,10.56,-4.87
compucoin,-8.29,-4.8
signatum,4.92,-4.8
bitcoin-cash,-5.51,-4.75
president-johnson,2.1,-4.62
e-coin,-22.26,-4.55
hubii-network,15.87,-4.47
dovu,-2.68,-4.41
ug-token,-3.58,-4.41
prizm,3.93,-4.35
netcoin,-5.84,-4.29
vibe,-5.82,-4.06
ethos,-4.9,-3.88
woodcoin,6.35,-3.85
futcoin,6.31,-3.78
change,-9.01,-3.72
fastcoin,12.79,-3.55
procurrency,-6.12,-3.38
zcash-gold,8.62,-3.22
freicoin,-22.04,-3.09
real,-0.54,-3.07
mazacoin,-3.21,-3.01
poly-ai,3.44,-2.97
tierion,-8.46,-2.94
firstcoin,0.24,-2.91
pirate-blocks,12.95,-2.55
nevacoin,-7.61,-2.48
tenx,-8.19,-2.45
social,21.04,-2.43
stox,0.77,-2.41
smartcash,2.44,-2.28
eurocoin,11.49,-2.27
hobonickels,9.74,-2.26
bitpark-coin,7.41,-2.24
zcash,9.0,-2.2
nubits,-1.77,-2.2
hawla-today,-9.77,-1.95
maker,-1.04,-1.9
decent-bet,-1.75,-1.81
starta,-8.88,-1.6
domraider,-4.37,-1.6
elastic,-13.6,-1.57
first-bitcoin,-4.52,-1.55
gaia,7.37,-1.5
adx-net,-8.37,-1.49
jobscoin,-8.82,-1.43
casinocoin,0.68,-1.42
nvo,50.25,-1.36
revolvercoin,2.49,-1.35
cabbage,-6.98,-1.35
project-x,23.99,-1.08
popularcoin,-24.49,-0.77
taas,3.0,-0.73
ebittree-coin,-12.57,-0.73
blackmoon-crypto,2.37,-0.71
bancor,-7.5,-0.61
paragon,-6.44,-0.57
argentum,-6.53,-0.54
grantcoin,-0.53,-0.34
gamecredits,-6.22,-0.34
ebtc,-51.13,-0.32
huntercoin,-1.54,-0.23
latoken,3.75,-0.11
tether,-0.07,-0.06
wowecoin,0.0,-0.0
byteball,-2.78,0.04
